,cifar10,cifar10,cifar10,cifar10,cifar10,cifar10,cifar100,cifar100,cifar100,stl10,stl10
,"n_lb=lb1500, n_ulb=ulb3000","n_lb=lb1500, n_ulb=ulb3000","n_lb=lb1500, n_ulb=ulb3000","n_lb=lb500, n_ulb=ulb4000","n_lb=lb500, n_ulb=ulb4000","n_lb=lb500, n_ulb=ulb4000","n_lb=lb150, n_ulb=ulb300","n_lb=lb150, n_ulb=ulb300","n_lb=lb150, n_ulb=ulb300","n_lb=lb150, n_ulb=ulbNone","n_lb=lb150, n_ulb=ulbNone"
,"r_lb=100, r_ulb=100","r_lb=100, r_ulb=-100","r_lb=150, r_ulb=150","r_lb=100, r_ulb=100","r_lb=100, r_ulb=-100","r_lb=150, r_ulb=150","r_lb=10, r_ulb=10","r_lb=10, r_ulb=-10","r_lb=15, r_ulb=15","r_lb=10, r_ulb=1.0","r_lb=20, r_ulb=1.0"
supervised,63.83±0.33,63.89±0.25,59.79±0.5,46.63±0.88,47.02±1.09,43.39±1.94,48.26±0.19,48.33±0.28,45.69±0.26,46.45±0.58,40.8±0.64
fixmatch,76.69±0.78,69.95±1.18,73.01±0.57,72.41±1.71,62.1±1.49,65.37±0.97,57.76±0.6,57.56±0.55,54.29±0.5,67.7±2.02,56.9±3.19
fixmatch_crest,77.19±0.34,80.8±0.14,73.47±0.39,74.21±0.76,68.83±5.96,67.0±1.36,57.92±0.4,58.27±1.15,53.48±1.25,66.28±1.94,62.24±2.16
fixmatch_crest+,78.25±0.36,68.81±0.63,74.59±0.66,76.38±1.37,61.59±1.1,72.0±2.35,58.13±0.23,56.75±0.51,54.65±0.39,66.4±1.04,63.49±1.86
fixmatch_darp,78.49±0.49,69.67±0.65,74.73±0.3,74.67±0.76,63.26±1.33,68.97±0.81,58.22±0.23,58.08±0.44,54.89±0.42,64.56±1.24,56.95±2.76
fixmatch_abc,83.88±0.27,83.78±0.27,81.73±0.25,82.02±0.58,80.13±0.5,77.15±1.26,59.71±0.22,60.22±0.42,56.77±0.35,72.2±1.2,67.68±1.95
fixmatch_daso,76.51±0.49,78.07±0.38,71.97±0.51,68.62±0.67,69.16±1.03,64.4±0.66,59.01±0.16,60.06±0.2,55.75±0.29,71.13±1.4,62.12±4.05
fixmatch_saw,80.78±0.4,75.37±0.34,76.75±0.23,77.73±0.81,71.16±2.12,70.87±1.81,58.62±0.29,58.99±0.43,55.52±0.23,70.45±0.71,66.42±1.08
fixmatch_adsh,77.67±0.34,70.18±0.68,73.54±0.89,75.87±0.62,65.29±1.5,67.97±1.7,58.37±0.26,55.78±0.5,54.5±0.27,70.58±1.52,66.75±0.89
fixmatch_debiaspl,77.51±0.76,69.72±0.1,73.41±0.47,73.49±1.05,63.62±0.38,67.03±1.0,58.01±0.32,58.38±0.4,54.54±0.24,64.72±0.98,56.23±2.74
fixmatch_cossl,85.28±0.23,75.48±0.98,82.98±0.12,82.22±0.27,70.91±1.5,78.15±1.6,59.03±0.39,58.54±0.49,56.58±0.73,71.2±0.53,66.49±1.46
remixmatch,78.79±0.85,68.84±1.13,74.64±0.08,74.8±1.34,52.87±0.62,69.27±0.27,61.77±0.34,53.88±0.33,57.53±0.45,64.58±0.64,54.85±0.91
remixmatch_crest,78.59±0.97,79.45±4.02,49.47±34.98,75.93±1.16,55.06±2.65,69.17±0.7,60.98±0.05,54.34±0.22,56.85±0.48,65.38±0.9,57.68±2.93
remixmatch_crest+,79.34±0.39,78.65±3.29,75.92±0.61,78.42±1.44,58.82±1.84,71.47±1.9,61.04±0.09,55.93±0.36,57.75±0.33,65.24±0.83,60.36±1.02
remixmatch_darp,79.2±0.41,70.03±0.38,74.75±0.1,74.09±0.78,53.6±0.59,69.01±0.75,61.88±0.26,54.12±0.25,57.81±0.43,64.89±0.91,55.14±1.91
remixmatch_abc,84.38±0.54,77.21±0.83,81.46±0.35,80.79±0.45,57.4±0.87,76.25±1.98,63.05±0.48,59.82±0.28,59.66±0.66,67.63±1.13,58.66±1.16
remixmatch_daso,78.94±0.93,69.99±0.83,74.83±0.16,74.11±0.65,53.49±0.4,68.42±1.63,61.89±0.2,54.94±0.49,58.14±0.42,64.95±0.68,55.99±2.01
remixmatch_saw,81.32±0.46,58.72±1.17,71.36±5.76,65.99±7.24,56.5±3.22,52.19±2.02,27.88±3.75,11.25±1.12,30.41±2.99,66.63±1.0,56.38±0.6
remixmatch_adsh,None,None,None,None,None,None,None,None,None,None,None
remixmatch_debiaspl,78.76±0.3,69.94±1.03,75.06±0.33,74.28±0.53,53.37±0.1,68.39±0.41,61.9±0.5,54.32±0.18,57.99±0.66,64.28±1.82,55.19±1.31
remixmatch_cossl,86.41±0.13,81.63±0.69,84.04±0.06,83.95±0.36,68.53±1.08,81.01±1.15,63.41±0.57,58.41±0.2,None,69.25±0.4,64.17±1.18
