,cifar10_40,cifar10_250,cifar10_4000,svhn_40,svhn_250,svhn_1000,cifar100_400,cifar100_2500,cifar100_10000
fullysupervised,4.6±0.04,4.55±0.09,4.58±0.05,2.09±0.02,2.09±0.01,2.07±0.02,22.55±0.02,22.46±0.23,22.25±0.09
supervised,77.58±1.82,55.96±1.95,15.51±0.18,82.21±1.72,25.7±2.42,12.46±0.45,89.87±0.47,61.25±0.54,38.99±0.14
pseudolabel,76.29±1.08,48.28±2.1,14.9±0.2,75.95±3.39,16.6±1.13,9.33±0.58,87.15±0.87,59.09±0.61,38.86±0.09
meanteacher,76.93±2.29,56.06±2.03,15.47±0.43,81.94±1.33,25.1±3.17,12.29±0.45,90.34±0.65,61.13±0.57,39.05±0.12
pimodel,75.56±2.02,47.69±1.52,12.8±0.09,77.38±5.36,13.55±0.42,7.24±0.19,87.13±1.25,60.08±0.61,39.1±0.16
vat,76.42±2.57,42.58±6.67,10.97±0.19,77.0±6.59,4.59±0.13,4.09±0.21,83.11±0.27,53.17±0.57,36.58±0.21
mixmatch,70.67±1.25,37.28±0.61,7.38±0.06,79.63±5.78,3.71±0.2,3.12±0.09,79.95±0.29,49.58±0.62,32.1±0.13
remixmatch,14.5±2.58,9.21±0.55,4.88±0.05,31.27±18.79,6.38±1.09,5.34±0.45,57.1±0.0,34.77±0.32,26.18±0.23
adamatch,5.05±0.04,5.01±0.11,4.29±0.06,2.32±0.17,2.14±0.1,2.04±0.02,47.82±1.48,33.26±0.55,27.53±0.12
uda,8.01±1.34,5.12±0.15,4.32±0.07,2.03±0.02,2.03±0.03,1.96±0.01,53.44±2.06,34.37±0.28,27.52±0.1
fixmatch,8.33±1.41,4.97±0.05,4.29±0.1,2.08±0.08,1.99±0.05,2.0±0.04,53.37±2.15,34.29±0.43,28.28±0.18
flexmatch,5.21±0.36,5.0±0.05,4.28±0.05,3.36±0.37,5.02±1.2,5.43±0.46,50.15±1.51,33.35±0.33,27.12±0.04
dash,15.01±3.7,5.13±0.26,4.35±0.09,2.08±0.09,1.97±0.01,2.03±0.03,53.98±2.31,34.47±0.12,27.72±0.13
crmatch,10.13±2.09,4.67±0.02,3.81±0.16,7.14±2.28,1.88±0.04,1.91±0.02,49.39±1.16,31.35±0.27,26.24±0.26
comatch,5.44±0.05,5.33±0.12,4.29±0.04,9.51±5.59,2.21±0.2,1.96±0.07,60.98±0.77,37.24±0.24,28.15±0.16
simmatch,5.18±0.15,4.99±0.12,4.51±0.08,3.19±0.74,2.26±0.11,2.08±0.06,48.82±1.07,32.54±0.27,26.42±0.18
freematch,4.97±0.09,4.85±0.1,4.14±0.19,3.79±0.03,4.09±0.66,4.31±0.0,49.24±2.16,32.79±0.21,27.17±0.11
softmatch,5.06±0.02,4.84±0.1,4.27±0.12,2.31±0.0,2.15±0.05,2.08±0.04,49.64±1.46,33.05±0.05,27.26±0.03
