,aclImdb_20,aclImdb_100,ag_news_40,ag_news_200,amazon_review_250,amazon_review_1000,yahoo_answers_500,yahoo_answers_2000,yelp_review_250,yelp_review_1000
fullysupervised,5.69±0.15,5.72±0.13,5.78±0.07,5.73±0.11,36.4±0.05,36.4±0.05,24.87±0.04,24.84±0.04,32.04±0.03,32.04±0.03
supervised,20.31±2.79,14.02±1.22,15.06±1.08,14.25±0.97,52.31±1.28,47.53±0.69,37.43±0.29,33.26±0.1,51.22±0.98,46.71±0.37
pseudolabel,45.45±4.43,19.67±1.01,19.49±3.07,14.69±1.88,53.45±1.9,47.0±0.79,37.7±0.65,32.72±0.31,54.51±0.82,47.33±0.2
meanteacher,20.06±2.51,13.97±1.49,15.17±1.21,13.93±0.65,52.14±0.52,47.66±0.84,37.09±0.18,33.43±0.28,50.6±0.62,47.21±0.31
pimodel,49.99±0.01,44.75±3.99,60.7±19.09,12.58±0.57,77.22±1.5,53.17±2.56,44.91±1.32,32.45±0.45,75.73±4.01,59.82±0.61
vat,25.93±2.58,11.61±1.79,14.7±1.19,11.71±0.84,49.83±0.46,46.54±0.31,34.87±0.41,31.5±0.35,52.97±1.41,45.3±0.32
mixmatch,26.12±6.13,15.47±0.65,13.5±1.51,11.75±0.6,59.54±0.67,61.69±3.32,35.75±0.71,33.62±0.14,53.98±0.59,51.7±0.68
remixmatch,50.0±0.0,50.0±0.0,75.0±0.0,75.0±0.0,80.0±0.0,80.0±0.0,90.0±0.0,90.0±0.0,80.0±0.0,80.0±0.0
adamatch,8.09±0.99,7.11±0.2,11.73±0.17,11.22±0.95,46.72±0.72,42.27±0.25,32.75±0.35,30.44±0.31,45.4±0.96,40.16±0.49
uda,49.97±0.04,50.0±0.0,41.0±24.96,53.68±30.15,60.76±13.61,68.38±16.44,71.3±26.45,70.5±27.58,69.33±15.08,66.95±18.46
fixmatch,7.72±0.33,7.33±0.13,30.17±1.87,11.71±1.95,47.61±0.83,43.05±0.54,33.03±0.49,30.51±0.53,46.52±0.94,40.65±0.46
flexmatch,7.82±0.77,7.41±0.38,16.38±3.94,12.08±0.73,45.73±1.6,42.25±0.33,35.61±1.08,31.13±0.18,43.35±0.69,40.51±0.34
dash,8.34±0.86,7.55±0.35,31.67±13.19,13.76±1.67,47.1±0.74,43.09±0.6,35.26±0.33,31.19±0.29,45.24±2.02,40.14±0.79
crmatch,8.96±0.88,7.16±0.09,12.28±1.43,11.08±1.24,45.49±0.98,43.07±0.5,32.51±0.4,29.98±0.07,45.71±0.63,40.62±0.28
comatch,7.44±0.3,7.72±1.14,11.95±0.76,10.75±0.35,48.76±0.9,43.36±0.21,33.48±0.51,30.25±0.35,45.4±1.12,40.27±0.51
simmatch,7.93±0.55,7.08±0.33,14.26±1.51,12.45±1.37,45.91±0.95,42.21±0.3,33.06±0.2,30.16±0.21,46.12±0.48,40.26±0.62
freematch,8.94±0.21,7.95±0.45,12.98±0.58,11.73±0.63,46.41±0.6,42.64±0.06,32.77±0.26,30.32±0.18,47.95±1.45,40.37±1.0
softmatch,7.76±0.58,7.97±0.72,11.9±0.27,11.72±1.58,45.29±0.95,42.21±0.2,33.07±0.31,30.44±0.62,44.09±0.5,39.76±0.13
